C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
D,GSH,BENCHMARK_PRICE,1,"2019/12/14 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/13 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/14 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/13 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/13 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/12 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/13 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/12 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/12 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/11 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/12 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/11 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/11 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/10 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/11 00:00:00",SEQ,"Gas - NG DA Days",5.80,1,"2019/12/10 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/10 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/09 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/10 00:00:00",SEQ,"Gas - NG DA Days",5.35,1,"2019/12/09 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/09 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/08 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2019/12/09 00:00:00",SEQ,"Gas - NG DA Days",5.35,1,"2019/12/08 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2019/12/08 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/07 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/08 00:00:00",SEQ,"Gas - NG DA Days",5.75,1,"2019/12/07 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/07 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/06 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/07 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/06 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/06 00:00:00",WAL,"Gas - NG DA Days",7.13,1,"2019/12/05 19:30:00"
